Home,xG,Score,xG.1,Away
Union Berlin,0.3,2–1,1.7,Stuttgart
Heidenheim,0.7,1–3,2.4,Wolfsburg
Eintracht Frankfurt,2.7,4–1,0.5,Werder Bremen
Freiburg,2.4,1–3,1.3,Augsburg
St. Pauli,1.2,3–3,1.6,Borussia Dortmund
Mainz,1.4,0–1,1.4,Köln
Borussia M'gladbach,1.1,0–0,0.4,Hamburg
Hamburg,0.4,0–2,1.4,St. Pauli
RB Leipzig,2.2,2–0,0.9,Heidenheim
Hoffenheim,1.4,1–3,1.6,Eintracht Frankfurt
Werder Bremen,2.6,3–3,2.1,Bayer Leverkusen
Stuttgart,0.8,1–0,1.8,Borussia M'gladbach
Augsburg,0.5,2–3,4.2,FC Bayern
Wolfsburg,0.6,1–1,1.9,Mainz
Borussia Dortmund,2.4,3–0,1.1,Union Berlin
Köln,2.1,4–1,0.9,Freiburg
Bayer Leverkusen,2.1,3–1,0.8,Eintracht Frankfurt
Heidenheim,0.4,0–2,2.7,Borussia Dortmund
Freiburg,1.5,3–1,0.4,Stuttgart
Mainz,1.1,0–1,1.8,RB Leipzig
Wolfsburg,1.5,3–3,1.6,Köln
Union Berlin,2.6,2–4,2.8,Hoffenheim
FC Bayern,2.4,5–0,0.6,Hamburg
St. Pauli,1.8,2–1,0.8,Augsburg
Borussia M'gladbach,1.5,0–4,2.1,Werder Bremen
Stuttgart,2.1,2–0,0.9,St. Pauli
Hamburg,2.1,2–1,2.9,Heidenheim
Werder Bremen,1.2,0–3,2.4,Freiburg
Augsburg,1.1,1–4,2.5,Mainz
Hoffenheim,0.9,1–4,3,FC Bayern
RB Leipzig,3.3,3–1,1.7,Köln
Eintracht Frankfurt,1.9,3–4,1.7,Union Berlin
Bayer Leverkusen,1.4,1–1,0.8,Borussia M'gladbach
Borussia Dortmund,1.1,1–0,0.8,Wolfsburg
FC Bayern,3.4,4–0,0.4,Werder Bremen
Heidenheim,1.2,2–1,0.8,Augsburg
Wolfsburg,3,0–1,2.2,RB Leipzig
Mainz,0.5,0–2,1.4,Borussia Dortmund
St. Pauli,0.8,1–2,0.9,Bayer Leverkusen
Borussia M'gladbach,1.7,4–6,2.8,Eintracht Frankfurt
Freiburg,1.2,1–1,2.5,Hoffenheim
Köln,1.1,1–2,1.8,Stuttgart
Union Berlin,1.4,0–0,1.1,Hamburg
Hoffenheim,1.1,0–1,1.2,Köln
Borussia Dortmund,0.9,1–1,1.1,RB Leipzig
Augsburg,1.9,3–1,1.2,Wolfsburg
Werder Bremen,1.8,1–0,0.7,St. Pauli
Bayer Leverkusen,2.9,2–0,0.9,Union Berlin
Eintracht Frankfurt,0.3,0–3,1.7,FC Bayern
Stuttgart,1,1–0,0.6,Heidenheim
Hamburg,1.9,4–0,0.7,Mainz
Borussia M'gladbach,0.5,0–0,0.7,Freiburg
Union Berlin,1.2,3–1,0.7,Borussia M'gladbach
Wolfsburg,0.5,0–3,1.9,Stuttgart
RB Leipzig,1.2,2–1,1.5,Hamburg
Köln,0.6,1–1,1.1,Augsburg
Heidenheim,3.2,2–2,1.4,Werder Bremen
Mainz,1.6,3–4,3.4,Bayer Leverkusen
FC Bayern,2.4,2–1,1.6,Borussia Dortmund
Freiburg,1.1,2–2,0.8,Eintracht Frankfurt
St. Pauli,0.9,0–3,2.3,Hoffenheim
Werder Bremen,1,1–0,0.6,Union Berlin
Augsburg,0.8,0–6,2.7,RB Leipzig
Hamburg,2.8,0–1,0.4,Wolfsburg
Eintracht Frankfurt,2.2,2–0,0.4,St. Pauli
Hoffenheim,2.3,3–1,1.2,Heidenheim
Borussia M'gladbach,0.8,0–3,4,FC Bayern
Borussia Dortmund,1.9,1–0,0.5,Köln
Bayer Leverkusen,1.6,2–0,0.6,Freiburg
Stuttgart,1.9,2–1,1.4,Mainz
Augsburg,0.8,0–1,0.3,Borussia Dortmund
Union Berlin,1,0–0,1.2,Freiburg
St. Pauli,0.9,0–4,2.4,Borussia M'gladbach
Heidenheim,0.8,1–1,1,Eintracht Frankfurt
RB Leipzig,2.1,3–1,1.3,Stuttgart
Mainz,1.3,1–1,1,Werder Bremen
FC Bayern,2.3,3–0,0.4,Bayer Leverkusen
Köln,3.6,4–1,1.1,Hamburg
Wolfsburg,1.5,2–3,1,Hoffenheim
Werder Bremen,1.4,2–1,0.7,Wolfsburg
Union Berlin,0.8,2–2,1.3,FC Bayern
Hoffenheim,1.7,3–1,1.7,RB Leipzig
Hamburg,0.6,1–1,1,Borussia Dortmund
Bayer Leverkusen,3.3,6–0,0.1,Heidenheim
Borussia M'gladbach,2.8,3–1,2.2,Köln
Freiburg,1,2–1,0.5,St. Pauli
Stuttgart,2.3,3–2,1.9,Augsburg
Eintracht Frankfurt,1.2,1–0,0.1,Mainz
Mainz,1.9,1–1,1.3,Hoffenheim
FC Bayern,2.9,6–2,0.7,Freiburg
Augsburg,1.6,1–0,1.3,Hamburg
Borussia Dortmund,3,3–3,1.5,Stuttgart
Wolfsburg,2.1,1–3,1,Bayer Leverkusen
Heidenheim,0.4,0–3,2.2,Borussia M'gladbach
Köln,1.2,3–4,2.2,Eintracht Frankfurt
RB Leipzig,2,2–0,0.8,Werder Bremen
St. Pauli,0.7,0–1,0.5,Union Berlin
Borussia M'gladbach,0.4,0–0,0.9,RB Leipzig
Union Berlin,1,1–2,0.6,Heidenheim
FC Bayern,2.3,3–1,0.5,St. Pauli
Hoffenheim,2,3–0,1,Augsburg
Werder Bremen,1.1,1–1,1,Köln
Bayer Leverkusen,0.8,1–2,1.1,Borussia Dortmund
Hamburg,1,2–1,0.8,Stuttgart
Eintracht Frankfurt,1.6,1–1,1.8,Wolfsburg
Freiburg,4.2,4–0,0.1,Mainz
Mainz,1,0–1,1.7,Borussia M'gladbach
Augsburg,1.5,2–0,1.6,Bayer Leverkusen
Köln,1.9,1–1,0.1,St. Pauli
Stuttgart,0.9,0–5,3.3,FC Bayern
Wolfsburg,0.7,3–1,1.9,Union Berlin
Heidenheim,2.1,2–1,1,Freiburg
RB Leipzig,3.6,6–0,0.6,Eintracht Frankfurt
Hamburg,1.3,3–2,0.7,Werder Bremen
Borussia Dortmund,1.6,2–0,1.1,Hoffenheim
Union Berlin,1.4,3–1,0.5,RB Leipzig
Hoffenheim,1.5,4–1,1.4,Hamburg
